   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.88912,             0.87297,             0.93616,              0.4645,            0.056372,             0.24458,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.86531,             0.85753,             0.92074,             0.43308,             0.05833,             0.24413,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.86531,             0.85753,             0.92074,             0.43308,             0.05833,             0.24413,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.90473,             0.83602,              0.9077,             0.42034,            0.058159,             0.23578,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.89029,             0.85484,             0.92907,             0.46496,            0.056248,             0.25414,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.90744,             0.86974,             0.94651,             0.49055,            0.055587,             0.23538,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.70587,             0.79673,             0.77759,             0.31669,            0.066609,             0.25467,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.056115,             0.31857,             0.83674,              11.796,               0.163,             0.85736,              6.7942,          7.6934e-05,            0.058904,             0.52917,             0.33014,             0.94151,             0.04237,                   3
             0.84126,             0.83468,             0.86151,             0.29161,            0.066137,             0.26052,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.094848,             0.89169,             0.71445,              18.298,             0.26116,             0.38613,              2.8337,          0.00026984,             0.82693,            0.067723,             0.67207,             0.52875,             0.17424,                   3
             0.89778,              0.8618,             0.93697,             0.37811,            0.061145,             0.24926,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.071599,             0.49192,             0.48517,              22.829,             0.62945,             0.29512,              3.7546,          0.00063108,             0.88161,             0.86674,             0.76259,            0.034702,             0.12202,                   3
             0.72653,              0.6828,             0.64742,             0.14376,            0.075566,             0.24769,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.022881,             0.85109,             0.36364,              40.663,             0.22358,              0.4647,              8.1795,           2.461e-05,            0.024952,             0.88092,             0.29811,             0.17895,             0.68569,                   3
             0.91006,             0.88038,             0.95262,             0.45144,            0.057457,             0.23929,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.054345,            0.086147,            0.074847,               2.092,             0.71417,             0.10273,              6.3704,          0.00052872,             0.78378,            0.061601,             0.86497,             0.18442,             0.86937,                   3
             0.82903,             0.79167,             0.81609,             0.24289,            0.068665,             0.25257,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.045624,             0.13583,             0.10769,              19.389,             0.87464,             0.43654,              3.1678,           0.0004272,             0.34962,             0.13016,              0.4028,              0.9043,             0.11411,                   3
             0.88685,             0.86387,             0.93297,             0.46047,            0.057107,             0.24288,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.013467,              0.8586,             0.40745,              5.9424,             0.17563,             0.56444,               3.058,          0.00045391,             0.38704,              0.1622,             0.10739,             0.47387,             0.12601,                   3
             0.51269,             0.61156,             0.48421,             0.10647,            0.080484,              0.2761,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015074,             0.78456,             0.89541,               33.47,             0.67896,             0.68048,               4.691,          0.00030471,             0.83632,             0.49585,              0.8894,             0.87259,             0.80039,                   3
             0.81494,             0.81452,             0.86824,             0.31379,            0.066763,             0.25334,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077104,             0.13208,            0.019568,              26.504,            0.031189,             0.76362,              4.5058,          1.2339e-05,             0.20085,             0.91036,              0.2933,             0.94361,             0.93629,                   3
             0.73892,             0.69996,             0.69106,             0.18794,            0.073285,             0.25798,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.078051,              0.1378,              0.3349,              32.686,             0.19893,             0.75219,              3.8583,          0.00077918,             0.70461,             0.43904,             0.32041,             0.51556,              0.9148,                   3
             0.70433,             0.74462,             0.73053,              0.2219,            0.072627,              0.2675,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0043435,             0.74048,             0.81296,              34.731,             0.78223,             0.44096,              4.3557,          0.00037926,              0.1391,             0.80266,             0.73589,             0.46848,             0.89211,                   3
             0.90038,             0.81048,             0.91915,             0.41319,            0.059594,             0.25669,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.091804,             0.19709,             0.22615,              5.5225,              0.6949,              0.5596,              3.9061,          0.00093156,            0.074506,             0.81201,             0.34095,            0.044543,             0.38477,                   3
             0.72592,             0.75825,             0.74384,              0.2085,            0.073886,             0.25705,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.083493,             0.61369,             0.27066,              42.607,             0.79992,             0.86402,               5.224,          0.00023196,             0.33891,             0.60442,             0.97195,             0.74767,             0.27186,                   3
             0.56683,             0.64516,             0.60171,             0.16449,            0.077003,             0.27069,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.029936,             0.23632,             0.85236,              41.166,             0.26777,             0.68822,              2.8437,          0.00046633,             0.36329,           0.0029652,             0.95155,            0.020976,             0.59785,                   3
             0.84928,             0.84823,             0.87271,              0.2828,             0.06653,               0.251,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077845,             0.85115,             0.58629,              16.907,             0.13747,            0.056491,              9.4786,          0.00080171,             0.94389,             0.17602,             0.97167,             0.26288,             0.58057,                   3
             0.79843,             0.74194,             0.81693,             0.28701,            0.066867,             0.26218,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0023349,             0.84123,             0.69054,              5.7152,             0.69435,             0.76095,              8.7805,          0.00012684,             0.64343,             0.90707,             0.13172,             0.45596,             0.47374,                   3
             0.83223,             0.80674,             0.80033,             0.21568,            0.068583,             0.24966,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.067166,            0.033245,             0.40463,              16.847,            0.050794,              0.2052,              8.8556,          0.00054137,             0.97561,             0.74647,             0.69793,              0.2334,             0.45423,                   3
              0.8735,             0.84459,             0.91603,             0.36324,            0.062223,             0.25209,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057276,             0.10367,             0.24835,               15.74,             0.35586,             0.63073,              4.7049,          0.00026048,              0.9289,             0.98683,             0.61425,            0.063342,             0.59578,                   3
             0.79524,             0.76747,              0.8303,             0.27538,            0.066528,             0.26193,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.060217,             0.10452,             0.48936,              11.758,             0.89692,             0.71519,              9.3704,          0.00034894,             0.40909,            0.032369,             0.57235,             0.44616,             0.53475,                   3
             0.82229,             0.84581,              0.8845,             0.32756,            0.064434,              0.2451,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.018532,             0.68952,             0.58357,              12.476,             0.17452,             0.64366,              3.1664,          0.00091201,             0.41356,             0.67611,             0.36034,             0.66195,            0.072428,                   3
             0.88912,             0.87297,             0.93616,              0.4645,            0.056372,             0.24458,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.86531,             0.85753,             0.92074,             0.43308,             0.05833,             0.24413,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.86531,             0.85753,             0.92074,             0.43308,             0.05833,             0.24413,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.90473,             0.83602,              0.9077,             0.42034,            0.058159,             0.23578,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.89029,             0.85484,             0.92907,             0.46496,            0.056248,             0.25414,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.90744,             0.86974,             0.94651,             0.49055,            0.055587,             0.23538,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.59033,             0.67983,             0.55174,              0.1396,            0.074833,             0.27812,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01312,             0.77891,             0.80149,              30.302,             0.78285,             0.77684,              7.3122,          0.00027669,             0.92741,             0.37926,             0.42296,             0.99956,             0.26529,                   3
             0.74308,              0.7503,             0.77723,             0.21989,              0.0718,             0.25225,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.020725,             0.41993,             0.89551,              27.513,              0.4532,             0.56676,             0.29873,          0.00013773,              0.2849,             0.94228,             0.52537,             0.19515,             0.96757,                   3
             0.73129,             0.75538,             0.70418,              0.1627,            0.070829,             0.26928,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.099825,             0.84215,             0.12023,              31.483,             0.68491,             0.50619,               3.267,          0.00090694,              0.4254,             0.65159,             0.68063,            0.088958,              0.7805,                   3
             0.91666,             0.88705,             0.94411,             0.38593,            0.060647,             0.24373,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.031546,              0.6457,             0.13518,              12.316,              0.4203,             0.04949,              0.6335,          0.00087018,             0.44698,             0.75102,             0.64101,             0.45678,             0.23882,                   3
